改正時期,改正種別,改正前CPC,改正後CPC,改正前標題,改正後標題,資料種別
2023.01,D,H04N 5/2252,H04N 5/2252,{Housings},{Housings},Compilation of Changes
2023.01,D,H04N 5/22521,H04N 5/22521,"{Elements optimizing image sensor operations, e.g. EMF protection, heat transfer, moisture or dust}","{Elements optimizing image sensor operations, e.g. EMF protection, heat transfer, moisture or dust}",Compilation of Changes
2023.01,D,H04N 5/22525,H04N 5/22525,{Electronic viewfinders},{Electronic viewfinders},Compilation of Changes
2023.01,D,H04N 5/225251,H04N 5/225251,{rotatable or detachable},{rotatable or detachable},Compilation of Changes
2023.01,D,H04N 5/2253,H04N 5/2253,"{Mounting of pick-up device, electronic image sensor, deviation or focusing coils}","{Mounting of pick-up device, electronic image sensor, deviation or focusing coils}",Compilation of Changes
2023.01,D,H04N 5/2254,H04N 5/2254,"{Mounting of optical parts, e.g. lenses, shutters, filters or optical parts peculiar to the presence or use of an electronic image sensor}","{Mounting of optical parts, e.g. lenses, shutters, filters or optical parts peculiar to the presence or use of an electronic image sensor}",Compilation of Changes
2023.01,D,H04N 5/22541,H04N 5/22541,{Optical arrangements for light-field or plenoptic cameras},{Optical arrangements for light-field or plenoptic cameras},Compilation of Changes
2023.01,D,H04N 2005/2255,H04N 2005/2255,"{for picking-up images in sites, inaccessible due to their dimensions or hazardous conditions, e.g. endoscope, borescope}","{for picking-up images in sites, inaccessible due to their dimensions or hazardous conditions, e.g. endoscope, borescope}",Compilation of Changes
2023.01,D,H04N 5/2256,H04N 5/2256,{provided with illuminating means},{provided with illuminating means},Compilation of Changes
2023.01,D,H04N 5/2257,H04N 5/2257,{Mechanical and electrical details of cameras or camera modules for embedding in other devices (mounting structure in mobile phone see H04M1/0264; optical details G03B)},{Mechanical and electrical details of cameras or camera modules for embedding in other devices (mounting structure in mobile phone see H04M1/0264; optical details G03B)},Compilation of Changes
2023.01,D,H04N 5/2258,H04N 5/2258,"{Cameras using two or more image sensors, e.g. a CMOS sensor for video and a CCD for still image (cameras having one image sensor for each colour H04N9/045, H04N9/09)}","{Cameras using two or more image sensors, e.g. a CMOS sensor for video and a CCD for still image (cameras having one image sensor for each colour H04N9/045, H04N9/09)}",Compilation of Changes
